[00:09.980 --> 00:10.980]  Oh, nice.
[17:11.540 --> 17:16.420]  Just the harvesting of the guanos because they don't get them.
[17:16.420 --> 17:17.540]  I mean it works great.
[17:17.540 --> 17:18.820]  I used to use bud swell.
[17:18.820 --> 17:20.340]  I used to use all the-
[17:20.340 --> 17:22.100]  Eagle 20 works great too.
[17:23.940 --> 17:25.380]  But I don't use it.
[17:28.180 --> 17:33.220]  But yeah, no, just it's nice to kind of raise awareness on some of these things.
[17:33.220 --> 17:40.180]  Because again, just because an ingredient might be organic or natural,
[17:40.660 --> 17:44.980]  there's other things to consider beyond just the label.
[17:44.980 --> 17:50.740]  And sustainable, regenerative, those are two things that a lot of people with this growing
[17:50.740 --> 17:52.260]  style are striving for.
[17:52.260 --> 18:00.500]  So when you're totally decimating one thing in the name of being sustainable, it's nice
[18:00.500 --> 18:01.380]  to put that out there.
[18:01.380 --> 18:06.980]  So OK, so try to stay away from the bat guanos or the seabird guanos and stuff like that.
[18:10.420 --> 18:10.920]  Yeah.
[18:11.780 --> 18:12.280]  OK.
[18:13.860 --> 18:22.420]  And then I guess, John, for you, are you doing any kind of top dressing or do you just mix
[18:22.420 --> 18:26.820]  up the soil and the soil is going to carry you through and then you amend after the run?
[18:26.820 --> 18:28.260]  Or what are you doing there?
[18:29.060 --> 18:30.500]  I do a lot of top dressing.
[18:30.500 --> 18:36.500]  But intermittently, when I think that I'm going to need certain things or kind of, I
[18:36.500 --> 18:42.500]  wouldn't say crop steering, but it's definitely done with intent for, OK, building up a little
[18:42.500 --> 18:46.180]  calcium before flower or second week.
[18:46.180 --> 18:50.980]  Typically, I'll only top dress twice during flower and maybe once during...
[18:50.980 --> 19:00.740]  But I also use teas and all the other inoculants and sprouted seed tea, corn and malted barley,
[19:00.740 --> 19:04.020]  two row malted barley and grind that up.
[19:04.020 --> 19:10.500]  And so I'm constantly giving it stuff, but it also very slow, low measure, too.
[19:10.500 --> 19:14.340]  Like, I feel like I don't really know what the plant needs every time.
[19:14.340 --> 19:17.780]  Like, I'm not doing saturation paste tests or malic testing.
[19:18.500 --> 19:22.900]  That's what I want to get into that because then you really know what you can dial in.
[19:23.540 --> 19:28.980]  But like, just so we know, when you know about the plant, you know when things are timing,
[19:29.540 --> 19:32.740]  things, you know, I don't do a journal anymore.
[19:34.020 --> 19:35.460]  But that's a great thing.
[19:35.460 --> 19:38.740]  It's a great tool, too, because then it kind of gets you to figure out what you're doing
[19:39.380 --> 19:40.900]  and not changing too many variables.
[19:40.900 --> 19:44.020]  But, yeah, I use a lot of different things.
[19:44.020 --> 19:46.660]  And I top dress.
[19:46.660 --> 19:50.100]  I even use the, you know, like I'm schooled by Clackamas Coot, too.
[19:50.100 --> 19:55.220]  So I love like, you know, I do love that malted barley.
[19:55.220 --> 19:56.900]  I do like Karanja.
[19:56.900 --> 19:58.980]  I only put small amounts in, though, you know.
[19:59.460 --> 20:04.500]  And, you know, balance is the key.
[20:04.500 --> 20:05.300]  Yeah, yeah.
[20:05.300 --> 20:12.180]  I mean, it's, I'm watering in biology, almost every other watering, really.
[20:12.180 --> 20:17.620]  And it's only because, not because you necessarily need it, but just it's insurance.
[20:17.620 --> 20:20.260]  Like, that biology keeps everything healthy.
[20:20.260 --> 20:27.140]  I'm not saying it's going to, the healthier a plant is, it's amazing what they can withstand.
[20:27.140 --> 20:28.260]  Depending on the cultivar.
[20:28.980 --> 20:34.980]  And, you know, there might be ones that have more sensitivity to certain factors.
[20:34.980 --> 20:42.660]  But I'm always, I'm always trying to keep that biology zooming in there, because I feel like
[20:43.380 --> 20:45.300]  that's where all the magic is.
[20:45.860 --> 20:47.380]  That's the gas pedal.
[20:47.380 --> 20:52.260]  Yeah, the more biology, the more things are going to be available to the plant, the better
[20:52.260 --> 20:52.820]  it can grow.
[20:53.460 --> 20:58.180]  And, you know, Chef had mentioned, too, just kind of by experience from repetition, by
[20:58.180 --> 21:02.660]  paying attention to your plants, you're able to anticipate these types of things.
[21:02.660 --> 21:06.420]  Because really, when you are top dressing, you have to anticipate.
[21:06.420 --> 21:09.620]  You can't be reactionary, otherwise you're already behind the ball.
[21:10.660 --> 21:13.220]  And experience is really the only way to get that.
[21:13.220 --> 21:15.620]  So that's why you got to pay attention.
[21:15.620 --> 21:16.180]  And that's good.
[21:16.740 --> 21:21.700]  One thing that you also mentioned, too, that, you know, originally, I don't know, old school,
[21:21.700 --> 21:23.060]  we learn new stuff all the time.
[21:23.060 --> 21:26.100]  And I definitely want to get to what you guys did last weekend.
[21:26.100 --> 21:26.820]  We'll get to that.
[21:28.420 --> 21:34.740]  But not necessarily, not companion planting, but having like a bed and having six or seven
[21:34.740 --> 21:37.700]  of the same, you know, cannabis strains in there.
[21:37.700 --> 21:41.380]  You wouldn't want to do, you know, multiple different strains, because if you're really
[21:41.380 --> 21:44.980]  trying to dial it in, you want feeding scheduling.
[21:44.980 --> 21:48.980]  But there has been some new stuff that I've read.
[21:48.980 --> 21:55.620]  And maybe it's just new to me, but plants will actually perform better in a shared bed.
[21:55.620 --> 21:58.660]  And I thought that was kind of wild, because I thought, you know, one would be trying to
[21:58.660 --> 21:59.460]  steal from the other.
[21:59.460 --> 22:03.460]  So there's going to be like the Hercules and then like the little guy.
[22:03.460 --> 22:07.220]  But yeah, aren't we always taught, like when we were growing, at least I was, that the
[22:07.220 --> 22:10.740]  plants strangle each other and you can't plant them together because they're going to, you
[22:10.740 --> 22:12.420]  know, outcompete each other or whatever.
[22:12.420 --> 22:16.020]  But it's kind of a marvelous thing that happens with these plants.
[22:16.020 --> 22:17.140]  It happens outside, too.
[22:17.140 --> 22:22.660]  We don't necessarily stop to think about it, but they grow in harmony with each other.
[22:22.660 --> 22:26.580]  Like, I mean, there are some that obviously there's choke vines and other things, but
[22:27.860 --> 22:30.900]  as far as cannabis goes, though, as far as cannabis.
[22:31.460 --> 22:32.420]  They love each other.
[22:33.700 --> 22:35.060]  They're so hippie.
[22:35.060 --> 22:36.340]  Damn cannabis plants.
[22:38.260 --> 22:45.780]  But yeah, that's, you know, and I've not done multiples here just because, again, it's small
[22:45.780 --> 22:50.580]  and I don't have beds, but at the commercial facility, yeah, we had it was nothing but,
[22:50.580 --> 22:56.340]  you know, beds and six to seven plants in every container, every room.
[22:56.340 --> 23:00.180]  So I thought they were they were a little bit crazy in the first place.
[23:00.180 --> 23:02.900]  And that was just another thing I thought they were a little crazy for.
[23:02.900 --> 23:08.020]  But some of these things, as time has gone by, I'm like, I get it now.
[23:09.780 --> 23:15.060]  Have either of you guys had the opportunity to kind of work commercially or at least see
[23:15.700 --> 23:17.220]  some of the commercial practices?
[23:17.220 --> 23:22.420]  Because, I mean, again, they're probably not growing the way that you want to see, but
[23:24.020 --> 23:24.900]  many ways to do it.
[23:24.900 --> 23:25.300]  I don't know.
[23:25.300 --> 23:26.980]  Have either of you guys had that experience?
[23:28.500 --> 23:33.300]  Well, so I used to work at a dispensary that I was the chef at.
[23:34.180 --> 23:35.140]  I worked in the kitchen.
[23:36.180 --> 23:43.300]  More recently, I've been working with an awesome family that is taking the task of converting a
[23:44.260 --> 23:46.340]  cocoa grow to a living soil greenhouse.
[23:47.060 --> 23:50.740]  And to see that transformation has just a beautiful.
[23:51.540 --> 23:52.100]  Wow.
[23:52.100 --> 23:52.660]  Thank you.
[23:52.660 --> 23:53.460]  Part of the team.
[23:53.460 --> 23:57.140]  Shout out to Joel at Aquanaut and the rest of the team there.
[23:57.140 --> 23:57.860]  They're killing it.
[23:59.060 --> 24:01.300]  They're really putting boots to the ground.
[24:02.900 --> 24:04.580]  And these beds are beautiful.
[24:04.580 --> 24:07.460]  They're filled with local main soil that's cut with biochar.
[24:08.260 --> 24:10.740]  And I believe two or three percent.
[24:11.700 --> 24:19.220]  And yeah, there's 2,000 square foot greenhouses that they are just about
[24:20.100 --> 24:22.100]  two thirds of the way done finishing up.
[24:22.100 --> 24:23.780]  So very proud of this team.
[24:25.140 --> 24:26.340]  Yeah, that's exciting.
[24:26.340 --> 24:27.940]  And that's a commitment.
[24:27.940 --> 24:34.180]  A lot of any businesses, agriculture too, they want something new, but they want it to be proven,
[24:34.180 --> 24:36.580]  which is hard to do.
[24:37.380 --> 24:43.140]  But that's a really scary jump for somebody who's in that kind of position.
[24:43.140 --> 24:47.060]  Was there anything that maybe inspired them to do it?
[24:47.060 --> 24:51.380]  Or have they just been on the fence and finally decided, you know, let's go that way?
[24:53.300 --> 24:57.060]  So I actually met them at the regenerative conference in March.
[24:57.700 --> 25:00.260]  Here in Maine up at Nature Summit.
[25:00.260 --> 25:01.620]  Shout out Nature Summit as well.
[25:02.260 --> 25:13.380]  So they were looking for a place to take over and they were shopping around for
[25:14.180 --> 25:15.140]  different locations.
[25:15.140 --> 25:18.980]  And this one ended up being what they set their heart out on.
[25:18.980 --> 25:25.140]  And yeah, to see how far they've come in a short amount of time, not even quite a year,
[25:25.860 --> 25:28.020]  is just remarkable, really.
[25:28.020 --> 25:28.520]  Yeah.
[25:29.940 --> 25:31.780]  Well, that's cool.
[25:31.780 --> 25:34.740]  And a lot of us too, we've been doing this for a while.
[25:35.460 --> 25:37.860]  We all have grand plans that we'd like to do.
[25:37.860 --> 25:38.580]  We'd like to see.
