[00:00.000 --> 00:02.440]  your shows. Yeah.
[09:34.790 --> 09:39.510]  Yeah, yeah, yeah. Sure. Maybe if you could speak into the mic
[09:39.550 --> 09:43.110]  into your into the iPad a little bit closer, that would be that'd
[09:43.110 --> 09:45.870]  be great grasshopper just so people can hear you even more.
[09:46.950 --> 09:48.870]  Yeah, I mean, I'll show right here is some
[09:50.230 --> 09:52.190]  see on the screen. This is some
[09:53.030 --> 09:58.550]  access by Cisco. And, you know, when I grew this, I thought it
[09:58.550 --> 10:02.870]  was going to be a little bit more like a wilder sitiva than
[10:02.870 --> 10:07.950]  it was. It was it was really workable. And, you know, the
[10:07.950 --> 10:12.550]  buds have have a nice substance to them, which is nice because I
[10:12.550 --> 10:16.230]  mean, often when you're growing like sativas, they get, they're
[10:16.230 --> 10:20.990]  so loose and larfy that they kind of don't have a lot of
[10:21.510 --> 10:25.390]  don't have a good substance to them. And like kind of like,
[10:25.470 --> 10:29.590]  like this kind of stuff where it's like really loose, like a
[10:29.590 --> 10:34.510]  really kind of airy and the Congolese is nice. And that or I
[10:34.510 --> 10:41.830]  guess it's the Congolese by the access by Cisco and access is
[10:41.950 --> 10:47.190]  Congolese by 88 g 13. Which is something that grasshopper
[10:47.230 --> 10:52.110]  recommended for me and gifted me a pack of seeds. Do you want to
[10:52.110 --> 10:54.830]  talk about that one a little bit? I mean, it's it seems like
[10:54.830 --> 11:00.870]  a pretty cool plant. I, you know, keep expecting it to be
[11:00.990 --> 11:06.230]  way more wild and thin leafed, but it seems it seems like a
[11:06.310 --> 11:08.150]  pretty average hybrid so far.
[11:11.950 --> 11:15.070]  Yeah, that's the reason I kind of hybridize them to make them,
[11:15.310 --> 11:18.950]  you know, attractive and a little bit easier to work with,
[11:19.350 --> 11:24.870]  you know, and they put together a little bit better as well. You
[11:24.870 --> 11:30.270]  know, what I did there was I was doing a preservation of
[11:35.110 --> 11:41.110]  source those for me, I tried to get my, you know, my, my, my
[11:41.110 --> 11:47.270]  seeds directly from the source. So in the process of preserving
[11:47.270 --> 11:52.710]  those and increasing the numbers on them, I would add certain
[11:52.710 --> 11:57.590]  plants to the to the population, or to the to the whole breeding
[11:57.590 --> 12:04.510]  operation. And what I added then was the access, which is, you
[12:04.510 --> 12:08.630]  know, you've already said it is the 88 g 13 by a black Congolese
[12:08.990 --> 12:18.320]  from Bowie. And there is a lot of hash plant influences in
[12:18.320 --> 12:21.480]  those crosses. You know, and that's the reason I feel like
[12:21.480 --> 12:24.440]  they're easier to work with. Because if you know, it kind of
[12:24.440 --> 12:26.480]  brings them and give them a little more structure, a little
[12:26.480 --> 12:29.880]  more body, and kind of shortens the flower time a little bit.
[12:30.760 --> 12:38.720]  But um, yeah, yeah, it wasn't a targeted breeding, it was part
[12:38.760 --> 12:43.600]  of open pollination preservation type. Yeah.
[12:46.990 --> 12:52.190]  Yeah, definitely. I'm really excited to, to flower them this
[12:52.190 --> 12:57.390]  year and see what they have. Elka, do you do any, any work
[12:57.390 --> 12:59.310]  with African varieties?
[13:02.070 --> 13:07.150]  I have something that supposedly has some Durban in it, but I'm
[13:07.150 --> 13:10.590]  not I'm not quite sure it does pop out a lot of licorice
[13:10.590 --> 13:13.230]  type of flavors. And I hear that that's something that is
[13:13.230 --> 13:18.750]  common in the Durban. And it does pop out some, some more
[13:18.790 --> 13:21.390]  sativa, I guess you'd call leaning phenos, but they're
[13:21.390 --> 13:25.070]  they're quick flowering. So it's a hybrid. So who knows, it
[13:25.070 --> 13:27.630]  supposedly has it in there. So that's the most that I have
[13:27.910 --> 13:30.230]  experience with it. So I'm really enjoying this
[13:30.230 --> 13:31.790]  conversation. This guy is awesome.
[13:32.350 --> 13:38.230]  For sure. Um, um, would you mind elaborating on the whole thing
[13:38.350 --> 13:42.550]  with Durban grasshopper? Because I know, like, you know, the
[13:42.550 --> 13:48.870]  whole difference between Durban poison and Durban. I mean, yeah.
[13:49.470 --> 13:52.510]  Yes, and yeah, I could talk about my knowledge or what I
[13:52.510 --> 14:00.110]  know on Durban and poison. I've worked with both of them, the
[14:00.110 --> 14:04.230]  pure Durban and the poison, which in the poison is pretty
[14:04.230 --> 14:10.470]  common. You can find Durban poison crosses all over. And I
[14:10.470 --> 14:14.350]  must say one thing with the land races is you could outcross them
[14:14.350 --> 14:16.750]  three, four times and you're going to still find those third,
[14:17.750 --> 14:23.190]  you know, very prevalent in the infraginate. But when it comes
[14:23.190 --> 14:28.430]  to the pure Durban, I prefer working with the pure Durban as
[14:28.430 --> 14:30.710]  opposed to the poison. I've worked with the poison in the
[14:30.710 --> 14:36.630]  past. It's just sometimes I don't understand what type of
[14:36.630 --> 14:40.110]  breeding or how does this, what was the process in the
[14:40.110 --> 14:44.310]  preservation of or, or the creation of the poison because
[14:44.310 --> 14:48.030]  it ended up to be this small little plant that doesn't hold
[14:48.030 --> 14:52.790]  up itself and doesn't yield much and does not do much. And, and
[14:52.790 --> 14:56.950]  the turf seems to be more, it seems like the super silver
[14:56.950 --> 15:01.230]  hairs that they added to the pure Durban to create the poison
[15:01.510 --> 15:05.990]  kind of brought some different influences into it. And for the
[15:05.990 --> 15:10.950]  most part, that is what we know. And, you know, it's the poison
[15:10.950 --> 15:17.750]  that most people work with. But I've been working with Ed
[15:17.750 --> 15:24.830]  Rosenthal's 82 pure Durban. And, you know, working with that and
[15:24.830 --> 15:28.550]  growing that and have worked with the poison in the past and
[15:28.550 --> 15:33.790]  grow the, grew the poison. It's, it's a different, it's a, the
[15:33.790 --> 15:36.990]  turps are very similar, but the structure of the plants are
[15:36.990 --> 15:40.430]  different. You know, you have a more stativa structure growing
[15:40.430 --> 15:46.190]  plant. Flowers a little bit longer, about 14 weeks and tends
[15:46.190 --> 15:51.630]  to, tends to have more of the anise phenol and the licorice
[15:51.670 --> 15:57.310]  phenol that is that most people look for in the Durban. What I
[15:57.310 --> 16:01.910]  find with the poison is more licorice than anise. You know,
[16:01.910 --> 16:05.110]  so I feel like, you know, a lot of people talk about the poison
[16:05.110 --> 16:08.430]  being anise, but it's more on the licorice side. The anise
[16:08.430 --> 16:13.670]  side is, I see it in the progeny of the pure Durban. I can see
[16:13.670 --> 16:18.790]  those. And there's always been that confusion about, you know,
[16:18.830 --> 16:22.550]  Durban poison is from South Africa. And, you know, I think
[16:22.550 --> 16:26.470]  James and a lot of other people on this same show have said the
[16:26.470 --> 16:31.750]  same thing that poison is from Europe, you know. And there's
[16:31.750 --> 16:39.950]  some suspicion that it was the 82 line from, from Ed Rosenthal
[16:40.150 --> 16:44.390]  that they took to Europe to create the poison, you know,
[16:44.390 --> 16:50.270]  Dutch passion and sensi and whoever had the poison. So I'm
[16:50.270 --> 16:53.870]  happy to be working with the original thing, start from it.
[16:53.870 --> 16:56.830]  And it's pretty interesting. I've done a lot of hybrids with
[16:56.830 --> 17:01.470]  them. And, and that's what I would have to say about that
[17:01.470 --> 17:02.070]  one, Jamal.
[17:02.310 --> 17:08.630]  And we don't know what the, what was added to it to make it
[17:09.590 --> 17:10.310]  poison.
[17:10.830 --> 17:14.070]  I mean, what they're saying is super silver haze. I mean, there
[17:14.070 --> 17:17.550]  was one time I read it was something called way back on
[17:17.550 --> 17:24.470]  like, like, like one of those forum things, but I don't see
[17:24.470 --> 17:28.030]  super silver haze in it. If they did, they were probably
[17:28.350 --> 17:34.470]  selecting the little bit of breeding. I see AC does a lot of
[17:34.470 --> 17:37.110]  that type of breeding where it's like, you know, they get a
[17:38.070 --> 17:42.150]  sativa, but it flowers like a indica and it tastes like a
[17:42.150 --> 17:44.790]  indica and the only thing sativa about it is a little small.
[17:45.710 --> 17:49.030]  You know, that's why most people are becoming accustomed to us
[17:49.190 --> 17:54.190]  as being sativas because that is what kind of is being pushed in
[17:54.190 --> 17:57.750]  the industry, as opposed to these huge plants that you could
[17:57.750 --> 18:01.510]  put into flower and about take a clone and put it into flower and
[18:01.510 --> 18:04.550]  end up to be a five foot plant with, you know, a quarter pound
[18:04.830 --> 18:09.110]  herb on it. It's a difference. You do that to one of these
[18:09.150 --> 18:13.830]  hybrids that we know as poison or as poisonous. Those things
[18:13.830 --> 18:17.910]  barely give you a few, you know, a few eights, a couple of eights,
[18:18.110 --> 18:22.150]  something like that. So that's the difference between for me
[18:22.150 --> 18:27.870]  between the poison and, and you know, and the, and the, and the
[18:27.870 --> 18:31.070]  Durban itself. I enjoy the Durban. I try to stay away from
[18:31.070 --> 18:36.430]  the poison. It doesn't have that sweeter licorice kind of
[18:36.430 --> 18:40.270]  vibe that I mean, the sweeter anise is more licorice with some
[18:40.270 --> 18:44.510]  deep earth and, and it passes on in the progeny for, I don't
[18:44.510 --> 18:48.510]  know, you would out cross it two or three times and poison is
[18:48.510 --> 18:52.790]  already an out cross. Yeah, you're still getting it. Out
[18:52.790 --> 18:55.710]  cross that again, you're still getting it. You know, that's one
[18:55.710 --> 19:01.910]  thing with these, with these sativas that they, you know,
[19:01.910 --> 19:04.150]  they don't have multiple genetics controlling the
[19:04.150 --> 19:07.350]  characteristics of the plant. It's just like mostly one or two
[19:07.350 --> 19:10.350]  genetics that controls all the characteristics of the plant. So
[19:10.350 --> 19:13.230]  it's kind of hard to beat those out of the line. You know, they
[19:13.230 --> 19:18.470]  are coming in hard and strong for generations. So, you know,
[19:18.470 --> 19:21.710]  that's the only thing with, with those is that, you know,
[19:21.710 --> 19:24.430]  breeding land races, you're going to have the influences of
[19:24.470 --> 19:28.670]  land race for the future. Crossing or more so if you're,
[19:29.270 --> 19:32.630]  you know, doing any type of hybrid.
[19:34.750 --> 19:37.870]  Yeah. And I mean, like, you were, you were, I guess, the
[19:37.870 --> 19:41.430]  first one to like, really explain to me how, you know, if
[19:41.430 --> 19:44.670]  you are going to be breeding with land race stuff that you
[19:44.670 --> 19:48.430]  want to pick something that is workable, you know, because
[19:48.710 --> 19:52.790]  where you're, you know, you want to start from a good place with
[19:52.790 --> 19:55.910]  your first cross. And so like, that's I appreciate how you were,
[19:56.230 --> 19:59.790]  you know, encouraging me to start in specific directions.
[20:00.270 --> 20:07.430]  Because it all depends on what your end results are, you know,
[20:07.430 --> 20:10.670]  because this is where you when you start breeding with new
[20:10.670 --> 20:13.910]  sativas and stuff, this is where you could really see what a male
[20:13.910 --> 20:18.110]  bring to the table from a sativa side, or if you're doing a
[20:18.110 --> 20:22.710]  hybrid where it's the opposite where you have indica male going
[20:22.710 --> 20:25.670]  on to a sativa. This is where you really see the difference.
[20:25.670 --> 20:28.910]  And this is where, you know, it helps me to really understand
[20:28.910 --> 20:37.670]  what, what is it that males contribute to, you know, and so
[20:37.670 --> 20:40.950]  that that's really important right there for me as far as
[20:41.230 --> 20:45.590]  where what direction am I going? If I'm going for if I'm going
[20:45.590 --> 20:49.550]  for some hybrids that I know is going to be grown indoor, they're
[20:49.550 --> 20:52.710]  going to be grown in California, and I need them to
[20:52.910 --> 20:56.990]  finish before the winter comes in, finish by late October,
[20:56.990 --> 21:04.510]  maybe early November, then I choosing a sativa or a land
[21:04.510 --> 21:09.190]  raised male, sativa male would not be your best option because
[21:09.190 --> 21:12.990]  that male brings flower time, it brings structure, it brings,
[21:13.270 --> 21:15.870]  you know, color, it brings a lot of different things to the
[21:15.870 --> 21:21.390]  progeny that that you might still have to take that and
[21:21.430 --> 21:24.670]  outcross it to make it appealing for someone to grow in their
[21:24.670 --> 21:27.950]  in their indoor facility. When if you're doing it in the
[21:27.950 --> 21:33.430]  opposite direction where you select a sativa female, and you
[21:33.430 --> 21:37.070]  have an indica male, you already know that indica male is going
[21:37.070 --> 21:40.590]  to bring shorter structure plant to the progeny, it's going to
[21:40.590 --> 21:45.390]  bring shorter flower time, it's going to bring all the stuff
[21:45.390 --> 21:50.630]  that you are looking after for an indoor situation or for a
[21:50.630 --> 21:54.270]  Northern California situation. So you know, I do them back and
[21:54.270 --> 21:58.590]  forth both ways because my intention is also to breed
[21:58.630 --> 22:03.030]  strains for the tropical region, and breeding hybrids for the
[22:03.030 --> 22:06.550]  tropical region, that's where I take the sativa males, because
[22:06.550 --> 22:10.110]  then I keep a kind of sativa structure a little bit earlier
[22:10.110 --> 22:14.910]  finishing flower to the edge, and I don't have kind of
[22:14.910 --> 22:17.310]  buds because you know, they kind of stay, the flowers stay
[22:17.310 --> 22:20.070]  is a little bit more loose, they could cope with the humidity
[22:20.070 --> 22:24.110]  from the tropics and stuff like that. So depending on where
[22:24.110 --> 22:27.750]  you're trying to go, if you're trying to make high land-based
[22:27.750 --> 22:33.670]  hybrids for Northern California or for the north of the equator
[22:33.670 --> 22:38.790]  and stuff like that, places that has four seasons, my advice is
[22:38.790 --> 22:42.870]  to use an indica male on to the sativa female. If you're doing
[22:42.910 --> 22:48.790]  it in the opposite direction, you know, and like for instance,
[22:49.750 --> 22:59.070]  the axis by Siskai, you know, that was a Siskai male. And you
[22:59.070 --> 23:04.350]  could see the, it's still not a wild, wild crazy sativa, but it's
[23:04.390 --> 23:08.630]  on the sativa side. Yep. You know, and then you could take
[23:08.630 --> 23:12.910]  the Hawaiians that I put a chem dog male on. And when you, you
[23:12.910 --> 23:15.390]  know, you look at those plants, you would think like, where's
[23:15.390 --> 23:20.230]  the sativa in them? It transformed them totally. You
[23:20.230 --> 23:25.310]  know what I mean? So the male really have a crazy influence on
[23:25.310 --> 23:28.870]  the direction you're trying to take when it comes to creating a
[23:29.070 --> 23:30.190]  land-based hybrid.
[23:31.710 --> 23:35.150]  Yeah, most definitely. And I mean, just from looking at your
[23:35.310 --> 23:38.150]  your work and the work that you shared with me and talked to me
[23:38.150 --> 23:42.190]  about and explain to me why you're using, you know, said
[23:42.190 --> 23:44.950]  genetics for this side of the other side, it was really
[23:44.950 --> 23:50.790]  eye-opening. It was really eye-opening for me, because it
[23:50.790 --> 23:58.030]  was just very matter of fact. And I mean, I'm, you know, like
[23:58.070 --> 24:01.510]  just how you were talking about, you know, using your chem crosses
[24:01.510 --> 24:05.510]  for, you know, getting good numbers, you know, getting high
[24:05.510 --> 24:09.590]  THC numbers, and then you would use a different male for, you
[24:09.590 --> 24:14.910]  know, a cis guy male for in the tropics. I thought that was, was
[24:14.910 --> 24:20.510]  really concise and clear. Because very often people,
[24:20.870 --> 24:25.990]  people's reasoning for using a specific male isn't as clear.
[24:27.030 --> 24:33.030]  And, you know, when I work with your genetics, you know, exactly
[24:33.030 --> 24:36.190]  like what you're saying, you know, like the crosses, the chem
[24:36.190 --> 24:41.750]  crosses, all were really dense. And, you know, nice big, nookie
[24:41.750 --> 24:53.070]  nugs, the cis guy crosses right here. More, not super dense, but
[24:53.070 --> 24:56.910]  it's not really loose. And I just wanted to address a
[24:56.910 --> 24:59.430]  question somebody said kind of like, you know, who cares if
[24:59.470 --> 25:03.150]  it's loose or dense? You know, when you grind it up, and I
[25:03.150 --> 25:06.110]  completely agree with that. But you know, the more when you grow
[25:06.310 --> 25:12.390]  more true sativas, they're really loose for a reason. And
[25:12.390 --> 25:16.510]  the reason why they're so loose is because of the humidity in
[25:16.510 --> 25:18.870]  the environment, the humidity when they're growing the
[25:18.870 --> 25:24.430]  humidity when the flower is cured. So I live in California,
[25:24.430 --> 25:30.070]  I've grown some, let's say 16 to 20 week varieties. And
[25:30.070 --> 25:34.510]  they're so loose that by the time they dry up and cure
[25:34.510 --> 25:39.990]  properly, it basically almost turns into like a powder. Like
[25:39.990 --> 25:43.510]  it doesn't preserve that well, because the bugs are so loose.
[25:43.790 --> 25:48.350]  And that also kind of makes sense why people in those
[25:48.350 --> 25:51.990]  places where they're grown, kind of like jumble it all together.
[25:51.990 --> 25:55.190]  And so it's kind of like smashed together into like, one
[25:55.190 --> 25:59.390]  big kind of ball because the pieces are so loose, that if you
[25:59.390 --> 26:01.870]  have them by themselves, they would kind of like flake off
[26:01.870 --> 26:06.430]  into nothing. So I just wanted to address that question
[26:06.430 --> 26:10.870]  regarding, you know, the density of bugs, because it is nice to
[26:10.870 --> 26:14.670]  have something that has some some sustainability to it.
[26:15.670 --> 26:21.510]  And I mean, for me, the reason I, you know, like I said, I'm
[26:22.950 --> 26:27.310]  in California as well. And, you know, when you're trying to make
[26:27.310 --> 26:33.030]  an attractive hybrid for for people to use out here, you have
[26:33.030 --> 26:37.910]  to make it as you know, you're kind of like, kind of give them
[26:37.910 --> 26:41.430]  some of the influences of the sativa in a hybrid, but at the
[26:41.430 --> 26:47.470]  same time, make it appealing to grow, make it, you know, have
[26:47.470 --> 26:52.110]  some little kind of bug appeal, or something that makes people
[26:52.110 --> 26:57.550]  attracted to it, you know. So a lot of people beat up on the
[26:57.590 --> 27:00.950]  loose sativas and stuff, which I have no problem with. But you
[27:00.950 --> 27:04.350]  know, I tend to kind of like kind of add a little attribution
[27:04.350 --> 27:07.150]  here and there to them to kind of make them a little bit nicer.
[27:07.510 --> 27:11.110]  So that, you know, they can work for some people, you don't want
[27:11.110 --> 27:13.630]  that people to have a bad experience, because most people
[27:13.630 --> 27:16.710]  think they want these sativas. But if I show them a pure siski,
[27:16.950 --> 27:18.870]  they're gonna be like, what is this swaggish?
[27:21.510 --> 27:27.910]  But keep that good energy that they have that clear up bright,
[27:27.910 --> 27:31.990]  high and kind of like, add a little things to them to make
[27:31.990 --> 27:34.390]  them more appealing, like shorter, the flowering time,
[27:34.550 --> 27:38.870]  tighten up the buds a little bit, you know, so those are
[27:39.590 --> 27:44.150]  my focus. I mean, I keep them in the original form as well,
[27:44.190 --> 27:47.110]  preserving them and keeping these stuck around because
[27:47.150 --> 27:51.030]  they're pretty unique in their original state as well. It's
[27:51.030 --> 27:55.670]  just that if you want them to beat the cold, beat the rain and
[27:55.670 --> 27:58.230]  all of that stuff, we got to add a little bit of different things
[27:58.230 --> 27:58.670]  to them.
[27:59.950 --> 28:00.550]  You know,
[28:02.350 --> 28:07.630]  yeah, your cross definitely beat the cold and beat the rain. I
[28:07.630 --> 28:11.710]  left out, you know, some some nubs for a couple extra months
[28:11.710 --> 28:16.270]  and they seem to do really well. I think they eventually rotted,
[28:16.470 --> 28:21.110]  but it was, yeah, it was a they weren't needed really well.
