[00:00.000 --> 00:01.340]  I did, I did.
[02:42.240 --> 02:44.040]  A lot of those guys like to do that,
[02:44.040 --> 02:46.920]  where someone else is saying how great it is.
[02:47.640 --> 02:50.560]  Speaking of great things, let's kind of get back more.
[02:50.560 --> 02:51.920]  The flow of the show, I feel like.
[02:51.920 --> 02:53.440]  Let's talk about great hair, because I
[02:53.440 --> 02:55.600]  feel like there's some great hair on the show today.
[02:55.600 --> 02:56.100]  Yeah.
[02:59.280 --> 03:00.480]  So what up, Andrew?
[03:00.480 --> 03:02.080]  We're excited to have you on the show.
[03:02.080 --> 03:04.440]  Each and every Thursday, guys, we're
[03:04.440 --> 03:07.280]  going out of our way to bring you, the Living Soil nerds,
[03:07.280 --> 03:10.240]  the Living Soil community, the best and brightest.
[03:10.240 --> 03:13.880]  And Daguerre and myself, a few years ago, we put on a party,
[03:13.880 --> 03:15.400]  and we reached out to a lot of people
[03:15.400 --> 03:18.680]  that we were really enjoying to highlight.
[03:18.680 --> 03:20.360]  And Andrew is one of them.
[03:20.360 --> 03:22.840]  And that's because he's talented.
[03:22.840 --> 03:25.400]  He's one of the, I hope you take this with love, buddy,
[03:25.400 --> 03:27.600]  you're one of the young bucks out there that's really
[03:27.600 --> 03:29.120]  starting to make a name for himself.
[03:29.120 --> 03:33.160]  And a lot of us want to continue to help
[03:33.160 --> 03:36.120]  you put your name out there, because you do the work.
[03:36.120 --> 03:38.760]  We know that, I've seen your hands before
[03:38.760 --> 03:39.720]  and that kind of stuff.
[03:39.720 --> 03:41.240]  I know that you're actually washing it.
[03:41.240 --> 03:43.080]  It's not like you've got a team over there,
[03:43.080 --> 03:44.440]  and then you're just washing it.
[03:44.440 --> 03:46.760]  You've got a team over there, and then you're pretending
[03:46.760 --> 03:49.480]  like you're actually the one doing the work.
[03:49.480 --> 03:52.320]  So I wanted for today, for a lot of our audience,
[03:52.320 --> 03:54.120]  I know, as far as I understand, buddy,
[03:54.120 --> 03:56.080]  you've never shown your face before.
[03:56.080 --> 03:57.680]  So this is another one of those times
[03:57.680 --> 04:00.600]  where we're able to reach out to the community,
[04:00.600 --> 04:03.560]  and the community can kind of accept you fully now
[04:03.560 --> 04:06.960]  to see who's really behind the bright mind of Turk Fountain
[04:06.960 --> 04:08.000]  Genetics.
[04:08.000 --> 04:10.040]  Shout out to Rocky as well.
[04:10.040 --> 04:13.600]  You're doing a collab drop with him, I believe, in July.
[04:13.640 --> 04:16.160]  So we kind of wanted to start there and talk about some
[04:16.160 --> 04:17.800]  of the stuff that you're putting out,
[04:17.800 --> 04:20.120]  because we do have a lot of background with you, buddy.
[04:20.120 --> 04:21.920]  But we'd really love to learn more
[04:21.920 --> 04:24.160]  about what you've been working on behind the scenes,
[04:24.160 --> 04:26.280]  it seems like, for the last two years.
[04:26.280 --> 04:27.840]  Absolutely.
[04:27.840 --> 04:29.840]  So basically, I've been just focusing
[04:29.840 --> 04:31.640]  on the flavors I love.
[04:31.640 --> 04:35.800]  I've always been a fruit lover, a sour lover, and an OG lover.
[04:35.800 --> 04:39.320]  So I've really just been pinning down those turps
[04:39.320 --> 04:43.960]  and trying to focus on things that are stable and ice water
[04:43.960 --> 04:46.680]  forward and really stand out in their terpenes.
[04:46.680 --> 04:52.160]  I'm not trying to play the cookies and wedding cake card.
[04:52.160 --> 04:54.440]  I mean, those are great washers and great genetics.
[04:54.440 --> 04:55.760]  There's nothing wrong with them.
[04:55.760 --> 04:59.600]  But I'm just trying to kind of blaze a new trail terpene-wise
[04:59.600 --> 05:02.680]  and try to bring something new to the table that
[05:02.680 --> 05:06.120]  will add something special to people's menus in ice water
[05:06.120 --> 05:08.480]  hash.
[05:08.520 --> 05:11.720]  Yeah, so we got Peter showing basically
[05:11.720 --> 05:13.280]  your brand new Instagram, man.
[05:13.280 --> 05:15.200]  I know you've had it up there for a little bit.
[05:15.200 --> 05:18.640]  But these are obviously what the community is after.
[05:18.640 --> 05:20.880]  And so obviously, Leighton and I,
[05:20.880 --> 05:23.960]  we are going to have a conversation with you today
[05:23.960 --> 05:26.360]  where we'd love to learn more and kind of pick your brain
[05:26.360 --> 05:28.880]  and have those gold nugget moments,
[05:28.880 --> 05:31.560]  because we really do feel like you have something special,
[05:31.560 --> 05:34.160]  man, and we want to share that with the community today.
[05:34.160 --> 05:35.240]  I appreciate that.
[05:35.240 --> 05:38.400]  And yeah, I mean, I definitely got some nuggets for you guys.
[05:38.400 --> 05:41.400]  And I can talk about some things
[05:41.400 --> 05:44.480]  that I've learned along the way and some of my experiences.
[05:44.480 --> 05:46.720]  And hopefully, I have something that
[05:46.720 --> 05:49.280]  can benefit some of you guys.
[05:49.280 --> 05:51.760]  We got a mystery guest calling in a little bit later.
[05:51.760 --> 05:55.040]  So stay tuned for that as well.
[05:55.040 --> 05:56.120]  Very nice.
[05:56.120 --> 06:01.000]  So firstly, I mean, I want to talk about what
[06:01.000 --> 06:02.040]  my first line is.
[06:02.040 --> 06:04.360]  So basically, this piegasm that I've been showing off,
[06:04.360 --> 06:06.280]  it's kind of been my pride and joy.
[06:06.280 --> 06:11.600]  And so I popped about 50 seeds of it.
[06:11.600 --> 06:14.720]  I'm trying to figure out when that was.
[06:14.720 --> 06:17.800]  Maybe like eight months ago, 10 months ago.
[06:17.800 --> 06:20.400]  And I separated out the males and females.
[06:20.400 --> 06:22.000]  I had all my females in one room,
[06:22.000 --> 06:25.800]  put all the males in the other, and flowered all the males,
[06:25.800 --> 06:30.600]  flowered all the females, really figured out what was doing what,
[06:30.600 --> 06:32.960]  how everything looks.
[06:32.960 --> 06:35.800]  And from there, I picked out my male selection.
[06:35.800 --> 06:38.880]  And put it through stress testing.
[06:38.880 --> 06:42.440]  And shucked pollen off it and saved it.
[06:42.440 --> 06:44.200]  And then really just put it through hell
[06:44.200 --> 06:48.400]  and beat it up and underwatered it.
[06:48.400 --> 06:51.200]  Let it over-veg the pot, seeing if I
[06:51.200 --> 06:54.960]  could get it to throw out some pistols, so to speak,
[06:54.960 --> 06:57.360]  or any kind of irregularities.
[06:57.360 --> 07:00.000]  And it passed the test.
[07:00.000 --> 07:01.720]  The terpenes were exceptional on it.
[07:01.720 --> 07:05.440]  It had great resin on it.
[07:05.600 --> 07:08.200]  That washable resin that has a good pliability
[07:08.200 --> 07:10.160]  between the fingers when you're squeezing it.
[07:10.160 --> 07:14.080]  You can really grab down on resin on washable plants,
[07:14.080 --> 07:15.240]  male and female alike.
[07:15.240 --> 07:19.280]  And you'll see strings between it,
[07:19.280 --> 07:22.400]  or you'll feel a little bit of sandy granularness.
[07:22.400 --> 07:25.160]  But there's going to be a tackiness to the resin
[07:25.160 --> 07:27.240]  in these washing plants.
[07:27.240 --> 07:30.000]  Whereas in some of the non-washing plants,
[07:30.000 --> 07:31.960]  you're going to have, when you pinch the resin,
[07:31.960 --> 07:34.880]  it's kind of just, you're going to feel it instantly collapse.
[07:34.880 --> 07:36.720]  And there's going to be a greasiness to it.
[07:36.720 --> 07:39.320]  And there's good plants like that.
[07:39.320 --> 07:41.240]  And some of those plants that you'll feel them,
[07:41.240 --> 07:42.960]  and they're going to be like, oh, man, this is greasy.
[07:42.960 --> 07:45.440]  I don't know if I'm really going to be able to wash this.
[07:45.440 --> 07:47.840]  You end up washing it, and it doesn't do too bad.
[07:47.840 --> 07:49.800]  But like, and the turps are special.
[07:49.800 --> 07:52.400]  So there's something to be said about those plants, too.
[07:52.400 --> 07:56.880]  But generally, I'm looking for those granular resin heads
[07:56.880 --> 08:01.920]  that have that texture to them and that pliability,
[08:01.920 --> 08:05.520]  so to speak, so that they can make it through the process
[08:05.520 --> 08:07.680]  of ice water, so to speak.
[08:09.840 --> 08:11.600]  And how long have you been, you know,
[08:11.600 --> 08:13.920]  I know you've been washing for a long time.
[08:13.920 --> 08:17.040]  So how long have you really been focused on,
[08:17.040 --> 08:18.720]  you know, moving towards breeding?
[08:19.880 --> 08:22.280]  So I started, I decided to really like,
[08:22.280 --> 08:26.000]  start my breeding path, like, pretty much two years ago.
[08:26.000 --> 08:27.640]  Like, I wanted to start making things
[08:27.640 --> 08:31.400]  that were more unique to me, like, more for that reason,
[08:31.400 --> 08:33.560]  and not necessarily to like, you know,
[08:33.560 --> 08:35.480]  have other people get the flavors or whatever.
[08:35.480 --> 08:38.360]  But my attitude over the last couple of years
[08:38.360 --> 08:40.240]  has kind of changed to where like, you know,
[08:40.240 --> 08:41.920]  I'm really excited about these things,
[08:41.920 --> 08:44.280]  and I want other people to be able to experience them, too.
[08:44.280 --> 08:46.720]  So, you know, it kind of turned from something
[08:46.720 --> 08:50.320]  to where I was, you know, trying to build myself up and,
[08:50.320 --> 08:51.920]  you know, with something unique.
[08:51.920 --> 08:53.440]  And then it turned into, you know,
[08:53.440 --> 08:55.720]  I really enjoy like, you know, putting other people on
[08:55.720 --> 08:58.840]  and seeing other people be able to enjoy it, too.
[08:58.840 --> 09:02.720]  You saw that question about the Piegasm lineage.
[09:02.720 --> 09:05.200]  Yeah, so the lineage of the Piegasm,
[09:05.200 --> 09:09.080]  it's a Great Pie BXF2 from Canerado.
[09:09.080 --> 09:10.800]  And I picked that plant out
[09:10.800 --> 09:12.960]  because I'm a big fan of the Great Pie.
[09:12.960 --> 09:17.960]  But the numbers on the Great Pie are more like,
[09:18.200 --> 09:20.880]  they're more like a four to 5% plant.
[09:20.880 --> 09:23.320]  And the Great Pie BXF2,
[09:23.320 --> 09:26.960]  I was getting a little over 6% on it,
[09:26.960 --> 09:30.640]  and it had like more of that fruit forward,
[09:30.640 --> 09:35.200]  like berry forward and less so like gassy
[09:35.200 --> 09:36.440]  and less so of like that,
[09:36.440 --> 09:39.720]  like kind of like Tootsie Roll kind of a terp
[09:39.720 --> 09:41.400]  that you can get with some of the Great Pies.
[09:41.400 --> 09:44.360]  And it was just like straight berry, you know,
[09:44.360 --> 09:47.000]  straight pastry, a little bit of cheese on the back.
[09:47.000 --> 09:50.400]  And I took that and I got this other,
[09:50.400 --> 09:53.400]  so I went out to Ego Clash and I actually ended up getting
[09:53.400 --> 09:55.960]  a pack of the Gack Melon early,
[09:55.960 --> 09:57.560]  like a year early from everybody else,
[09:57.560 --> 10:00.280]  from Brandon from Dying Breed Seeds.
[10:00.280 --> 10:03.920]  And I popped that pack and I wasn't necessarily
[10:03.920 --> 10:07.040]  like planning to select a male from it,
[10:07.040 --> 10:09.120]  but I found this male that was just nutty
[10:09.120 --> 10:12.520]  and like the terps coming off of it were just insane.
[10:12.520 --> 10:14.780]  And so I decided to shuck it.
[10:14.780 --> 10:16.220]  I hit it to my favorite plant,
[10:16.220 --> 10:18.600]  which was the Great Pie BXF2.
[10:18.600 --> 10:22.160]  And what it made was just like an even hotter berry,
[10:22.160 --> 10:23.880]  like more sharpened fruit,
[10:24.760 --> 10:27.040]  little bit less so pastry once I crossed
[10:27.040 --> 10:28.240]  the Gack Melon into it,
[10:28.240 --> 10:30.920]  but it's just a really a hot berry,
[10:30.920 --> 10:33.240]  like just berry focused strain.
[10:33.240 --> 10:35.200]  And it's almost un-weed like,
[10:35.200 --> 10:37.920]  I've had like some of my relatives and stuff,
[10:37.920 --> 10:39.120]  like smell a jar of it.
[10:39.120 --> 10:41.480]  And they're like, that doesn't smell like weed.
[10:41.480 --> 10:42.860]  And like, they don't smoke or anything.
[10:42.860 --> 10:45.440]  So it's, you know, that always like is a big compliment
[10:45.440 --> 10:47.600]  to me when I can have somebody that doesn't smoke weed,
[10:47.600 --> 10:50.080]  like recognize the terps in something
[10:50.080 --> 10:51.320]  that I'm like working on.
[10:51.320 --> 10:54.320]  That's always like, it's always like, hell yeah, I made it.
[10:56.400 --> 10:59.000]  Since a lot of the viewers are gonna be introduced
[10:59.000 --> 11:00.200]  to you today, Andrew,
[11:00.200 --> 11:02.400]  I also wanted to kind of go into your background
[11:02.400 --> 11:05.280]  because, you know, the reason why I reached out to you
[11:05.280 --> 11:06.720]  to have you on the show is because
[11:06.720 --> 11:08.900]  you're a full circle farmer.
[11:08.900 --> 11:11.720]  You also believe in living soil systems
[11:11.720 --> 11:14.240]  and understanding natural farming concepts.
[11:14.240 --> 11:17.600]  You and I were even at Chris Trump's seminar
[11:17.600 --> 11:18.760]  like two years ago.
[11:18.760 --> 11:21.680]  So you are also putting in the work to understand
[11:21.680 --> 11:25.000]  not only what it's taking to create a fantastic product,
[11:25.000 --> 11:26.160]  having that canvas,
[11:26.160 --> 11:28.280]  but then you're taking it to the next level, obviously,
[11:28.280 --> 11:31.240]  with understanding what genetics are going to make you
[11:31.240 --> 11:32.080]  really stand out.
[11:32.080 --> 11:33.760]  And I feel like you have an eye for that.
[11:33.760 --> 11:36.920]  So could we kind of talk more about your background,
[11:36.920 --> 11:41.520]  your belief systems and how you cultivate cannabis
[11:41.520 --> 11:44.200]  so that the viewers can kind of get a better idea?
[11:44.200 --> 11:45.840]  So I think it's like when you're somebody
[11:45.840 --> 11:48.320]  that's like more focused on like the resin
[11:48.880 --> 11:52.040]  and less so focused on the flower,
[11:52.040 --> 11:54.180]  I mean, it opens up a whole new angle
[11:54.180 --> 11:56.760]  of like a closed loop farming, so to speak,
[11:56.760 --> 11:59.600]  because you can literally recycle almost everything
[11:59.600 --> 12:02.320]  back into the soil and, you know, including the nugs,
[12:02.320 --> 12:05.640]  including the branches and the stems and the leaves
[12:05.640 --> 12:07.760]  and even the hash water, you know?
[12:07.760 --> 12:11.040]  So it's like, you can really start to close in the loop
[12:11.040 --> 12:13.440]  where you're not pulling as much from the system
[12:13.440 --> 12:16.160]  because you're pulling off the resin and the turps.
[12:16.160 --> 12:18.840]  And that's pretty much like the extent of it.
[12:18.840 --> 12:20.920]  And you're putting a lot of the biomass
[12:20.920 --> 12:22.880]  back into the ground, so to speak,
[12:22.880 --> 12:26.400]  so that the, you know, the microbial and soil food web
[12:26.400 --> 12:27.820]  can work it down into something
[12:27.820 --> 12:29.000]  that the plant can use again.
[12:29.000 --> 12:33.160]  So you're recycling basically your original state nutrients.
[12:33.160 --> 12:35.760]  And, you know, with that, you're gonna have to like,
[12:36.800 --> 12:38.760]  that stuff takes time to activate and stuff.
[12:38.760 --> 12:40.720]  So when you're getting started on a system like that,
[12:40.720 --> 12:42.840]  you're still gonna need to do like, you know,
[12:42.840 --> 12:45.000]  some micronized minerals or ferments
[12:45.000 --> 12:46.920]  or whatever approach you're taking.
[12:48.040 --> 12:50.560]  Because it does take a little bit of time
[12:50.560 --> 12:51.920]  to work down the materials,
[12:51.920 --> 12:55.880]  like when you're making a closed loop sort of system.
[12:55.880 --> 12:57.480]  So, I mean, I definitely recommend that.
[12:57.480 --> 12:59.480]  It's not a complete solution.
[12:59.480 --> 13:02.640]  You're gonna have to, you know, work with your biology
[13:02.640 --> 13:04.200]  and, you know, do things like that.
[13:04.200 --> 13:06.560]  But it is, I think it's an upper hand
[13:06.560 --> 13:08.240]  because a lot of people don't have the ability
[13:08.240 --> 13:10.040]  to put their nugs back in the soil.
[13:10.040 --> 13:11.120]  That's so badass.
[13:11.120 --> 13:13.160]  Feeding plants, plants, I love it.
[13:13.160 --> 13:14.000]  Yep.
[13:14.000 --> 13:14.840]  And maybe a trick too,
[13:14.840 --> 13:16.400]  is to add some worms in the beginning
[13:16.400 --> 13:19.520]  to really get them to munch up that green matter.
[13:19.520 --> 13:20.360]  Or that-
[13:20.360 --> 13:21.200]  Oh, absolutely.
[13:21.200 --> 13:22.520]  Worms, you know, springtails, you know,
[13:22.520 --> 13:24.200]  and the more life you got, the better.
[13:24.200 --> 13:26.840]  But I mean, even just like having good,
[13:27.920 --> 13:30.760]  just fungal and bacterial action going on
[13:30.760 --> 13:33.120]  breaks that stuff down, you know, relatively quickly.
[13:33.120 --> 13:36.200]  And I think a key part to that too is, you know,
[13:36.200 --> 13:39.160]  making sure when you're adding, you know, fresh compost
[13:39.160 --> 13:40.240]  and other things like that,
[13:40.240 --> 13:42.320]  that you're gonna top it off with a little bit of soil.
[13:42.360 --> 13:45.000]  Because if you leave it on the top, you know,
[13:45.000 --> 13:46.160]  you're gonna end up with like that,
[13:46.160 --> 13:48.000]  kind of like that pile of crunchy leaves
[13:48.000 --> 13:49.880]  that you see a lot of people getting,
[13:49.880 --> 13:52.720]  that's not really doing much and it's not breaking down.
[13:54.000 --> 13:55.400]  And, you know, by that note too, I mean,
[13:55.400 --> 13:57.040]  I think it's smart to, you know,
[13:57.040 --> 13:59.000]  leave a few extra inches in your pots
[13:59.000 --> 13:59.840]  when you're filling them.
[13:59.840 --> 14:00.880]  Because you're gonna wanna have
[14:00.880 --> 14:03.440]  some of that layering action going on.
[14:03.440 --> 14:05.080]  Yeah, that's a really good suggestion.
[14:05.080 --> 14:06.760]  Cover it up so they don't dry out
[14:06.760 --> 14:08.960]  and they actually get the nutrients
[14:08.960 --> 14:11.400]  instead of letting them evaporate or dissipate.
[14:11.400 --> 14:14.560]  Yeah, that's a great suggestion.
[14:14.560 --> 14:16.480]  So what would you say you're like, you know,
[14:16.480 --> 14:18.640]  if you had your 60 second elevator pitch,
[14:18.640 --> 14:20.440]  like what all is going through your mind
[14:20.440 --> 14:23.120]  when you're starting to build your soil systems?
[14:24.080 --> 14:25.680]  When I'm building my soil systems,
[14:25.680 --> 14:28.960]  I'm just focused on like sustainability
[14:28.960 --> 14:31.080]  and I'm focused on what's gonna make
[14:31.080 --> 14:33.880]  the plants taste the best, you know?
[14:33.880 --> 14:34.880]  That's my focus.
[14:34.880 --> 14:38.520]  And, you know, sometimes I kind of have the approach
[14:38.520 --> 14:39.680]  where like less is more.
[14:39.720 --> 14:41.640]  Like I'd rather pull a plant
[14:41.640 --> 14:42.880]  that's like a little bit hungry
[14:42.880 --> 14:45.560]  than like a plant that's like, I don't know,
[14:45.560 --> 14:47.120]  super like flush at the end
[14:47.120 --> 14:48.920]  when you're going to harvest it, you know?
[14:48.920 --> 14:50.320]  And like just really green still.
[14:50.320 --> 14:53.120]  Like I like to see a little bit of the fade on there.
[14:53.120 --> 14:55.160]  And I like to see, you know,
[14:55.160 --> 14:56.920]  plants like using up some of the nutrients,
[14:56.920 --> 14:59.320]  but I don't like to see to where like, you know,
[14:59.320 --> 15:01.120]  it's like starting to get like those like brown
[15:01.120 --> 15:02.240]  shriveled leaves and stuff.
[15:02.240 --> 15:04.760]  I think there's a fine line, you know,
[15:04.760 --> 15:06.720]  when you're finishing plants like that.
[15:07.920 --> 15:09.160]  You know, I'd love to talk a little bit
[15:09.640 --> 15:10.920]  about the stresses that you're putting them under.
[15:10.920 --> 15:12.920]  Are you doing like nitrogen stresses,
[15:12.920 --> 15:15.480]  over-watering, dry down?
[15:15.480 --> 15:18.600]  I think that's really a key thing to this.
[15:18.600 --> 15:21.040]  So one of the stresses that like, you know,
[15:21.040 --> 15:24.600]  I like to put my plants under is like under-watering.
[15:24.600 --> 15:27.200]  And I also like to, you know, let light leaks go through.
[15:27.200 --> 15:29.520]  And I like the rooms to get a little too hot, you know,
[15:29.520 --> 15:32.680]  when I'm stress testing, you know,
[15:32.680 --> 15:34.240]  just common stuff for the most part.
[15:34.240 --> 15:36.560]  I'm not going like too crazy and doing, you know,
[15:36.560 --> 15:39.120]  shit that like nobody's doing to their plants,
[15:40.080 --> 15:41.440]  but like, I understand that, you know,
[15:41.440 --> 15:43.480]  some people's rooms are, you know, running hotter,
[15:43.480 --> 15:46.200]  like, you know, towards, you know, the high eighties.
[15:46.200 --> 15:47.760]  And I understand that, you know,
[15:47.760 --> 15:49.120]  some people are going to have light leak
[15:49.120 --> 15:50.440]  and stuff like that, you know?
[15:50.440 --> 15:53.400]  So I, you know, let my plants experience those things.
[15:53.400 --> 15:55.760]  And if they, if they harm,
[15:55.760 --> 15:57.560]  then they're out of the selection.
[15:58.760 --> 16:00.600]  Or if they throw female, you know,
[16:00.600 --> 16:02.320]  self-pounding female flowers,
[16:02.320 --> 16:03.520]  then they're out of the selection.
[16:03.520 --> 16:05.680]  It's just, I mean, that's how it has to be.
[16:06.680 --> 16:10.000]  You know, I feel like Leighton and I have asked this question
[16:10.000 --> 16:11.920]  to a lot of the breeders that come on the show,
[16:11.920 --> 16:13.440]  like in your opinion,
[16:13.440 --> 16:15.680]  how big of a pheno hunt do you really need
[16:15.680 --> 16:17.040]  to be running through that stuff?
[16:17.040 --> 16:20.960]  Is that at 10, you know, we've had some people say 10,
[16:20.960 --> 16:22.280]  we've seen obviously a hundred,
[16:22.280 --> 16:24.660]  thousands if you're in a commercial setting,
[16:24.660 --> 16:27.600]  what would be your ideal pheno hunt?
[16:27.600 --> 16:29.600]  My ideal pheno hunt, like I said,
[16:29.600 --> 16:33.240]  is probably like a hundred to 50 plants is ideal.
[16:33.240 --> 16:34.640]  You know, I don't, you know,
[16:34.640 --> 16:36.720]  run that many numbers all the time because, you know,
[16:36.720 --> 16:39.120]  for legal reasons and, you know,
[16:39.120 --> 16:41.400]  but I, you know, I do try to run as many as I can
[16:41.400 --> 16:43.620]  when possible and that's key.
[16:43.620 --> 16:46.160]  But that being said, you know,
[16:46.160 --> 16:48.560]  you can still find some crazy ass winners
[16:48.560 --> 16:50.480]  in just like a 12 pack, you know?
[16:50.480 --> 16:52.680]  Like you can find amazing strains
[16:52.680 --> 16:54.120]  that are even better than, you know,
[16:54.120 --> 16:57.160]  whatever cut they're selling, you know, of that, the cut,
[16:57.160 --> 16:59.440]  you know, a lot of times the cut is just, you know,
[16:59.440 --> 17:01.880]  the second or third best or whatever, you know,
[17:01.880 --> 17:04.720]  a lot of times people keep their best and, you know,
[17:04.720 --> 17:07.160]  the cut that floats around is not the best one.
[17:07.160 --> 17:09.960]  So just popping a 12 pack of seeds
[17:09.960 --> 17:11.960]  allows you to have a cut, you know,
[17:11.960 --> 17:14.040]  that's even better than the cut, you know,
[17:14.040 --> 17:15.460]  in my perspective.
[17:16.520 --> 17:17.720]  So I've got a question for you.
[17:17.720 --> 17:19.120]  When you, when you make your seeds,
[17:19.120 --> 17:22.240]  are you going to feminize them or do you leave them natural?
[17:22.240 --> 17:25.320]  So far I've been running, you know, regular seeds.
[17:25.320 --> 17:28.400]  I've had a little bit of interest in, you know,
[17:28.400 --> 17:31.840]  running some feminized seeds, just, you know,
[17:32.680 --> 17:35.280]  for certain flavors to get certain flavor profiles
[17:35.280 --> 17:38.240]  that I don't have males of or can't get males of.
[17:38.240 --> 17:40.320]  But other than that, like, I don't know,
[17:40.320 --> 17:42.720]  feminized seeds, like there's good feminized seeds,
[17:42.720 --> 17:44.360]  but they just don't interest me as much.
[17:44.360 --> 17:46.960]  Like, I don't know, just not quite my thing.
[17:48.160 --> 17:49.320]  You're a true breeder.
[17:50.360 --> 17:51.400]  I don't know about that.
[17:51.400 --> 17:53.520]  I'm just, I'm a true plant lover.
[17:53.520 --> 17:54.920]  That's what I'd call myself, you know,
[17:54.920 --> 17:58.120]  and I'm a turf seeker and, you know,
[17:58.120 --> 17:59.120]  I just love the plants.
[17:59.120 --> 18:02.080]  I don't know, like, it's just, it's a simple love.
[18:03.680 --> 18:04.960]  Well, you know, it's the nice thing
[18:04.960 --> 18:07.920]  about having just regular seeds is you can play with them.
[18:07.920 --> 18:10.200]  You know, a lot of people don't want to waste the space
[18:10.200 --> 18:12.440]  and I totally get that and they want the feminized
[18:12.440 --> 18:14.080]  so that they're just getting females,
[18:14.080 --> 18:16.120]  but you know, sometimes it's fun to play
[18:16.120 --> 18:17.120]  with the males a little bit.
[18:17.120 --> 18:20.200]  So, kudos to you brother, kudos to you.
[18:21.120 --> 18:22.480]  Yeah, I feel like it really teaches you
[18:22.480 --> 18:24.840]  when you start to actually just have males in the garden.
[18:24.840 --> 18:26.260]  It just, there's just something else.
[18:26.260 --> 18:29.000]  I feel like the other females kind of perk up in a way.
[18:29.840 --> 18:32.080]  It's just a whole new growing experience,
[18:32.080 --> 18:33.880]  I feel like when you first really start
[18:33.880 --> 18:35.240]  to mess around with that.
[18:35.240 --> 18:36.080]  Yeah.
[18:36.080 --> 18:39.080]  There's some truth to that, you know, for sure.
[18:39.080 --> 18:42.400]  You know, a lot of these guys leave those males in there
[18:42.400 --> 18:44.720]  for as long as they possibly can.
[18:44.720 --> 18:48.500]  I got a grower back East that's doing hemp
[18:48.500 --> 18:50.500]  and he says his females are psyched
[18:50.500 --> 18:53.520]  when there's a couple of males in the pot or in the field
