[00:00.000 --> 00:02.000]  1003
[03:01.360 --> 03:05.280]  And I was like, wow. All right. Thank you. You know, that was kind of you, but you don't have to do that
[03:05.280 --> 03:07.280]  He's like, you know, I I want to do it
[03:07.560 --> 03:11.200]  and of course, you know, I got blessed to smoke at one of his
[03:11.840 --> 03:15.760]  funny cigarettes for lack of better words on the way down and that
[03:16.440 --> 03:18.440]  What an incredible pleasure it was
[03:19.760 --> 03:23.480]  Share both his smoke with him and and that time together
[03:24.400 --> 03:26.640]  ironically, I got back east and I
[03:27.160 --> 03:29.160]  Gave a chunk of it to my son
[03:29.480 --> 03:33.920]  And I told him, you know, it just was gifted to me by a gentleman named Frenchie cannoli
[03:33.920 --> 03:40.460]  I think he was at college up in in New Hampshire at the time and and he told some of his friends about it
[03:40.460 --> 03:43.520]  And he became like an instant his hit
[03:44.080 --> 03:50.480]  Hanging out with senior smoking Frenchies temple ball at college and so that was you know, that was a wonderful memory
[03:50.880 --> 03:52.880]  And I'm sure my son
[03:52.880 --> 03:58.960]  Be hurt to find out that yeah, he's no longer with us. And so rest in peace my friend. God rest in peace
[04:00.440 --> 04:06.920]  And I did speak to Kimberly and she's gonna she's gonna come on sometime in the next few weeks to
[04:07.240 --> 04:10.340]  Put on a tribute to him and all his work
[04:11.100 --> 04:15.940]  The love that he shared with so many people so we'll keep you posted on that is when it happens
[04:17.820 --> 04:21.020]  Well, no no on a light note, you know, I really didn't know him very well
[04:22.700 --> 04:26.140]  But I did get to meet him at the Emerald Cup and
[04:27.340 --> 04:30.300]  We had smoked some temple ball. It's still
[04:31.420 --> 04:35.020]  To date the highest I've ever been I think as an adult
[04:35.900 --> 04:42.500]  I had to like sit in my chair and talk myself down for about 30 minutes before I could even get up. So
[04:43.660 --> 04:49.300]  So Brian that guy that you mentioned who had never smoked ash. I am curious if you ever made it home that night, but
[04:50.540 --> 04:56.820]  He was definitely a little awestruck. I feel like afterwards there was you know, there's a bunch of people in that group
[04:56.820 --> 04:59.380]  I don't know if I want me to name their names or anything
[04:59.380 --> 05:03.260]  But there's definitely a bunch of quote-unquote famous people in the cannabis industry
[05:03.260 --> 05:06.780]  and what was cool is the guy had no idea who they were is just a
[05:07.100 --> 05:12.780]  Genuine good heart of individual and I feel like for whatever reason when we were walking down the streets of Palm Springs
[05:13.300 --> 05:19.660]  He crossed they cross and Frenchie saw him and a cool little moment happened there where we all just kind of enjoying hash and
[05:20.780 --> 05:27.740]  You know in the streets of Palm Street Palm Springs and just being able to to really see how genuine and gifting he was
[05:27.740 --> 05:30.180]  You know, he shared a psilocybin with us. We were able to
[05:30.740 --> 05:34.220]  You know, he was kind of joking he's like, all right, we all did our little speeches now
[05:34.220 --> 05:37.660]  Let's go have some fun and they weren't really at the hotel that we were at
[05:37.660 --> 05:39.740]  They weren't really allowing the group to enjoy ourselves
[05:39.740 --> 05:42.060]  So they all kind of pushed us to this one area
[05:42.380 --> 05:47.760]  by the pool and I felt like it was the greatest thing that could have happened for the that group that night is because we
[05:47.760 --> 05:50.460]  All just kind of bonded in this one little small area
[05:50.460 --> 05:54.780]  Nobody could really mingle too far away and it just kind of created this cool little vibe
[05:54.780 --> 05:59.720]  So that's something that I will always personally remember just enjoying that evening and watching
[06:00.500 --> 06:04.140]  living legends that were there interact with one another and there was
[06:04.980 --> 06:10.880]  Just respect there was a huge respect for everybody that was there and that was something that I like to see as well
[06:13.340 --> 06:15.140]  So no, I know that
[06:15.140 --> 06:21.700]  You ran upstairs for us and I was hoping maybe we could kind of kick this off with you and transfer into some some good
[06:21.700 --> 06:28.100]  Stuff but maybe you smoke in a temple ball and can you kind of explain that for the audience last week?
[06:28.900 --> 06:32.500]  Brett bird was able to explain a lot of that for the for you guys
[06:32.500 --> 06:37.240]  So if you haven't checked that out, I think it was at the hour 35 13 mark that I remember
[06:37.640 --> 06:43.620]  Check that out so that you guys can make that for yourselves another that's another huge gold bar that bird gave last week
[06:43.620 --> 06:48.820]  And you know if you learn to do that for yourself, that's a that's a huge advantage just to enjoy
[06:49.500 --> 06:51.140]  medicine on another level
[06:51.140 --> 06:55.060]  So Jim if you want to kind of explain that on your own terms as well
[06:55.900 --> 06:57.900]  totally, yeah, so
[06:58.100 --> 07:00.520]  You know, I I had found out about Frenchie
[07:02.580 --> 07:06.180]  Not I'm not sure how far into things I was but
[07:06.860 --> 07:11.820]  You know, I was really into the whole hash thing. I was never really into
[07:12.340 --> 07:14.020]  extracts
[07:14.020 --> 07:19.340]  Involving, you know chemicals and I'm just kind of in kind of a organic hippie that way
[07:20.060 --> 07:22.060]  little granola II so
[07:22.300 --> 07:26.020]  You know, I just never got into that stuff, but I really enjoyed dry sift
[07:26.660 --> 07:33.020]  And then I started seeing you know what Frenchie was doing with temple balls and
[07:34.820 --> 07:41.620]  You know, it just kind of seemed like taking dry sift to the next level and and really a way to
[07:42.700 --> 07:44.260]  have that
[07:44.260 --> 07:46.260]  that hash experience that
[07:46.460 --> 07:50.700]  You know all the hippies were having I mean you guys can probably tell I'm a little on the younger side
[07:50.780 --> 07:54.780]  And you know some of the older heads got to smoke all that like Moroccan
[07:55.300 --> 07:57.820]  Lebanese Afghan Pakistani hash
[07:59.060 --> 08:05.540]  And I was always really envious of that, you know, I'd read Robert Clark's book as sheesh and was just fascinated
[08:06.500 --> 08:08.500]  By by really that whole book
[08:09.100 --> 08:11.100]  And then, you know being here
[08:11.900 --> 08:18.580]  Stateside and growing up in the Midwest, you know, that stuff was so exotic. I I don't think I ever came across it
[08:19.340 --> 08:22.980]  So when I started cultivating and I found out about Frenchie, you know
[08:22.980 --> 08:26.700]  That was just it hit me like I need to try this. I need to do this
[08:27.540 --> 08:31.260]  and then of course, you know anyone who smoked a temple ball a
[08:31.860 --> 08:34.500]  Well-made one from well-grown flowers will know
[08:35.380 --> 08:38.180]  It's it's an incredible experience that you really can't
[08:39.180 --> 08:47.060]  You know have with just flour or with a chemical based extract. It's it's just a very unique experience. So
[08:47.740 --> 08:50.460]  So I really got raptured by that
[08:51.180 --> 08:52.740]  And
[08:52.740 --> 08:56.860]  I try to save my temple balls as long as I can, you know Frenchie
[08:57.740 --> 09:01.260]  made made the argument and had all the research about the
[09:02.020 --> 09:07.260]  secondary terpenes and cannabinoids that are produced during the temple making process
[09:08.300 --> 09:13.060]  And are not present in actual fresh flower or fresh resin
[09:13.820 --> 09:16.060]  So I've been hanging on to this temple ball
[09:16.620 --> 09:19.460]  This is from my 2019 outdoor season
[09:20.500 --> 09:22.500]  I'll get it unwrapped here
[09:22.580 --> 09:28.540]  We'll kind of try to get it on the camera. So I keep it in this cellophane and keep that in the fridge and
[09:29.180 --> 09:30.540]  I
[09:30.540 --> 09:32.660]  Had actually been saving this temple ball
[09:33.380 --> 09:38.300]  To get to experience with Frenchie someday. So now that he's passed
[09:38.940 --> 09:44.480]  I'm not really saving it for anything, but would love to have a little puff here on the show. So
[09:45.000 --> 09:48.340]  This is it. It's very cold. I just took it from my fridge
[09:49.100 --> 09:54.780]  So I can handle it but as soon as it starts to warm up it's gonna be too sticky to mess around with
[09:55.700 --> 09:58.220]  So let me get that in a bowl here
[09:59.460 --> 10:03.220]  I'm putting this on some Wi-Fi ghost flower
[10:05.060 --> 10:08.900]  Not too strong and hopefully will keep me articulate here on the show
[10:15.940 --> 10:22.700]  Now there's something that I want to point out to our viewers, you know your name on Instagram is higher thought guru you have a
[10:23.300 --> 10:29.700]  Blog where you basically review really high-end unique cannabis cultivars
[10:30.540 --> 10:32.300]  It's higher thought guru
[10:32.300 --> 10:36.260]  And I wanted to shout that out early because I really want you guys to start to see
[10:36.540 --> 10:39.860]  Just because somebody might not have the the platform and I hope you take this
[10:40.020 --> 10:43.100]  With love man, because I want to give you that platform today
[10:43.100 --> 10:48.660]  I really do feel like a lot of people could learn from you know, what what you are doing man. I mean
[10:49.660 --> 10:56.940]  You're taking cannabis to at least for when you're explaining things I feel like it's just the next level you're able to work with
[10:57.460 --> 11:03.980]  Freeborn selections. It seems like most of the gear that you work with is working with for you guys that don't know that's mean gene
[11:04.380 --> 11:09.220]  So you you're just on another level man. I feel like you understand things you live up to your name
[11:09.220 --> 11:13.380]  I think I mentioned that last week, you know the higher thought guru. I do do really feel like
[11:13.900 --> 11:18.420]  I don't mind saying that about you. I think when we first met right before kovat
[11:18.660 --> 11:23.100]  There's just something about the way that you talk about cannabis the way that you understand the plant
[11:23.380 --> 11:25.340]  And that's why I wanted to give you this platform
[11:25.340 --> 11:30.220]  But he is we're excited to learn more about how you think about cannabis and I hope a lot more people see
[11:30.500 --> 11:33.620]  the quality of cannabis that you're consuming as well as
[11:34.300 --> 11:40.880]  Critiquing man, that's those are incredibly generous words. That's very very kind of you to say
[11:41.860 --> 11:46.980]  You know the name higher thought guru. I definitely don't think of myself as a guru. So
[11:47.620 --> 11:50.860]  Anyone watching who's like man, this guy is just a total tool
[11:51.660 --> 11:56.260]  It you know, it almost started as an ironic thing. I thought it was kind of funny. So
[11:56.820 --> 11:59.260]  it's very nice of you to say that though Brian and
[12:00.140 --> 12:02.140]  you know, I started the blog because
[12:03.580 --> 12:08.620]  You know for the guys who are really into seeds and some of these more obscure
[12:09.700 --> 12:12.540]  Strains, you know, especially from Bodhi from freeborn
[12:13.580 --> 12:16.140]  Mean gene, you know that these guys
[12:17.340 --> 12:19.340]  They're doing so much breeding
[12:20.020 --> 12:22.020]  with such unique stuff
[12:22.860 --> 12:25.460]  it's really hard to find out about this stuff and
[12:26.660 --> 12:29.140]  So, you know what? I mean, I'm such a nerd about this
[12:29.140 --> 12:33.140]  I'd be looking on the internet trying to find out about these strains before I drew them and
[12:35.260 --> 12:39.740]  It it was always so frustrating to get any kind of meaningful information, you know
[12:39.740 --> 12:44.740]  you'd get a smoke report from someone and it's like the weed was really dank and
[12:45.140 --> 12:49.540]  You know, it got me super stoned and I spent the whole night on the couch and you're like
[12:50.660 --> 12:59.180]  That doesn't tell me anything about that strain about the real experience like, you know, it's just such a vague generic
[13:00.740 --> 13:03.220]  Really non descript description
[13:03.660 --> 13:05.660]  so the blog
[13:05.980 --> 13:13.020]  I really made you know in an attempt to kind of fill that hole of like I knew I was growing unique stuff
[13:13.020 --> 13:15.260]  I knew other people wanted to know about it
[13:16.140 --> 13:19.940]  And I knew that I would want to be able to refer back
[13:20.620 --> 13:27.820]  Years later, you know, you you certainly can remember a strain differently than it actually was and it's helpful
[13:28.380 --> 13:30.380]  To put it in writing at the time
[13:31.940 --> 13:37.220]  So then, you know, even if your memories get messed up you can go consult your blog or journal or whatever
[13:37.220 --> 13:39.340]  So so those kind of the birth of the blog
[13:40.220 --> 13:46.700]  You know just wanting to make get that information out there because I had been so frustrated trying to get
[13:47.860 --> 13:49.860]  information like that so
[13:50.300 --> 13:56.460]  So that was kind of how it was born. I've been you know doing this type of blogging since I was 17 years old
[13:57.980 --> 13:59.220]  So
[13:59.220 --> 14:01.460]  You know, I I do really love the plant
[14:02.100 --> 14:03.540]  it's
[14:03.540 --> 14:09.260]  You know, I mean I've had my ups and downs with the plant with with consuming the plant with
[14:09.900 --> 14:11.900]  every aspect of it
[14:12.100 --> 14:15.260]  But I think at this point in my life, it's probably safe to say that
[14:15.900 --> 14:20.820]  I will you know have a relationship with this plant in some way for the rest of my life and
[14:22.780 --> 14:24.780]  You know, I just
[14:25.140 --> 14:31.940]  Really really love it and the blog is a great way for me to kind of express my love and passion
[14:32.940 --> 14:36.980]  For the plant in in a lot of different ways, you know the growing of it the
[14:38.020 --> 14:40.020]  experience of consuming it and
[14:40.580 --> 14:47.460]  and you know, I I guess I do feel like I really don't like the culture of
[14:47.940 --> 14:55.460]  you know getting as stoned as possible and just kind of being a vegetable and I really appreciate the nuances
[14:55.980 --> 15:00.220]  that cannabis has to offer in terms of effect certainly aroma, but
[15:00.700 --> 15:05.540]  I just think it's incredible that you know, you can smoke a bowl of one flower
[15:06.180 --> 15:12.100]  Reliably get a certain feeling and then you smoke a different flower and get a totally different feeling
[15:12.980 --> 15:14.980]  So, you know when I was 17
[15:16.220 --> 15:23.580]  And kind of became aware of that that facet of cannabis that that it was so diverse in its effects and its aromas
[15:23.580 --> 15:25.420]  And that you could almost
[15:25.420 --> 15:27.420]  Not almost that you could customize
[15:28.420 --> 15:33.540]  Your own experience, I mean that was kind of game over for me I was so fascinated by that and
[15:34.340 --> 15:36.340]  really compelled to kind of create
[15:37.300 --> 15:40.680]  What I thought was the ideal experience for me
[15:42.060 --> 15:44.060]  so so it's been a
[15:45.340 --> 15:48.940]  Endeavor now that's you know, 10 10 plus years old and
[15:50.620 --> 15:52.620]  That's what got me into it so
[15:53.260 --> 15:57.140]  So and I've got got my bowl packed here
[15:57.620 --> 16:01.900]  It's an Amani summer day glass piece with a little temple ball on top. So
[16:03.100 --> 16:04.940]  so if my
[16:04.940 --> 16:09.060]  Conversation what I have to offer starts going downhill. You'll know exactly why
[16:10.460 --> 16:12.460]  It's all good brother. We'll cover you
[16:13.860 --> 16:19.820]  Perfect perfect. Yeah, I think my first experience with hash was god. I must have been
[16:20.620 --> 16:26.380]  16 years old and this guy had a green nugget of hash in a little container and
[16:27.420 --> 16:29.420]  We smoked it up, but it took me down
[16:29.980 --> 16:32.580]  It was not like the regular flower that I was smoking
[16:32.580 --> 16:37.220]  And so yeah, and then I then I got some blonde hash and some red hash
[16:37.980 --> 16:42.020]  we used to do hash under a glass on it with a with a pin head and
[16:42.820 --> 16:49.180]  So those are my first experiences and yeah, I was blessed because of my age to have been able to you know experience those
[16:49.700 --> 16:52.900]  Those hashes that were coming from overseas
[16:53.380 --> 16:56.060]  So those were import hashes, yeah, yeah
[16:56.060 --> 17:03.700]  Yeah, that tie stick and God the tie stick was amazing that I smoked out in San Diego when I was 18
[17:04.220 --> 17:08.340]  But those were probably the best some of the best treats that I got
[17:09.020 --> 17:14.340]  When I was younger and then of course then we got into the cauliflower and boy that that was it man
[17:14.340 --> 17:16.340]  I was changed forever on that
[17:16.780 --> 17:19.780]  But yeah, I have some fond memories of the old strains
[17:20.660 --> 17:22.820]  Being gold and Panama red
[17:24.220 --> 17:25.620]  Stuff you just can't get anymore
[17:25.620 --> 17:31.980]  Although I think mountain organics has still has some Colombian gold that I'd love to get a couple nuggets of at some point
[17:31.980 --> 17:36.540]  But I'll hit up Ian at some point in the near future when I've got some time to run around
[17:37.500 --> 17:39.500]  What was the most memorable?
[17:40.100 --> 17:43.820]  Import hash that you you had tried it was this red
[17:43.820 --> 17:48.460]  I think it was a Moroccan red boy that stuff would light you up like a Christmas tree
[17:48.460 --> 17:52.380]  It didn't take you down. It wasn't couch lock. It was it was more of a heady high
[17:53.380 --> 17:58.180]  Whereas that green stuff was was pure couch walk. I mean you smoked that you were down
[17:59.380 --> 18:04.300]  Hours and I'm like you I'm not a I'm not a big fan of just smoke until you drop, you know
[18:04.300 --> 18:09.060]  I'm more about you know, a couple hits here and there just to kind of you know
[18:09.340 --> 18:13.140]  Change your mood or enlighten you or get your mind working
[18:14.140 --> 18:19.900]  But I know there's there's quite a few people out there that just love to just smoke till you drop and that's cool for you
[18:19.900 --> 18:26.100]  You know, everybody's got their the thing and I got no hater hate on that, you know your style
[18:27.020 --> 18:34.660]  Sure. Yeah, that's that was probably my fondest memory was that that red because it just it just made you think just lifted you
[18:34.820 --> 18:37.380]  You know, like didn't even you weren't even walking on the ground
[18:37.900 --> 18:43.260]  Well, I I just think it's so incredible and striking that you know, I mean you you remember
[18:43.780 --> 18:47.540]  Experience that vividly from that long ago, you know
[18:47.540 --> 18:51.620]  I mean the color of it exact feeling the effect and I mean that's like
[18:52.260 --> 18:54.580]  You know, I think most of the people who are
[18:55.260 --> 18:57.220]  As nerdy as me into this, you know
[18:57.220 --> 19:02.420]  I mean that's kind of what we're after is a kind of like hunting for those memories, you know, really
[19:03.460 --> 19:05.460]  spectacular experiences that
[19:05.580 --> 19:10.340]  Just stick in your memory like that every aspect of them. So it's very cool to hear about that
[19:11.140 --> 19:16.540]  Yeah, and then there's you know, and seriously no joke that shit that Frenchie fucking smoked me up was
[19:17.540 --> 19:19.540]  Absolutely friggin amazing now
[19:19.540 --> 19:24.100]  It was like I think they call it a snake in the grass because I pretty sure there was some weed in there
[19:24.100 --> 19:28.100]  And he may have actually even put a little tobacco in there too to keep the temperature up
[19:28.660 --> 19:31.460]  But that stuff was incredible too. Very very heady
[19:31.460 --> 19:37.380]  You know wasn't it wasn't a couch lock of any kind it was it was a very, you know mind opening experience and
[19:38.420 --> 19:40.660]  You know, like I said, I got to spend three hours with him
[19:42.420 --> 19:44.420]  So that was a lot of fun
[19:44.420 --> 19:46.580]  Those are probably some of my fondest memories of ashes
[19:47.220 --> 19:49.620]  Frenchie stumple ball that read from
[19:51.780 --> 19:56.740]  Very cool. Well, I know when I had smoked with with Frenchie, I think he had strawberry banana
[19:56.820 --> 19:58.820]  I remember it tasted like
[20:00.020 --> 20:02.660]  Those candies the real chewy it was like a
[20:04.260 --> 20:10.500]  Like a starburst starburst, that's right. Yeah, there's a strawberry starburst like just coated my whole mouth
[20:12.180 --> 20:15.140]  So, you know naturally I took a few pulls from the hookah
[20:15.860 --> 20:17.300]  and
[20:17.300 --> 20:20.740]  That was a few too many. So I sat down and I
[20:21.460 --> 20:28.900]  Yeah, basically looked around I remember even thinking like if I wanted to stand up right now, I'm not sure that I could do that
[20:30.500 --> 20:32.660]  You know, it just felt like my legs were just
[20:33.300 --> 20:37.380]  waist down was totally I was like temporarily paralyzed and I was like
[20:37.860 --> 20:42.020]  All right, dude, just you know, chill out you're gonna be good and like 30 seconds later
[20:42.740 --> 20:46.980]  I was like, okay, I'm gonna be good. I'm gonna be good. I'm gonna be good. I'm gonna be good
[20:47.300 --> 20:53.140]  All right, dude just you know, chill out you're gonna be good in like 30 minutes or something and I mean I you know
[20:53.220 --> 20:55.220]  I just i've never been
[20:56.500 --> 21:00.980]  That incapacitated I don't think uh, probably since my teens so
[21:01.700 --> 21:04.340]  Um, that was a very memorable experience for me
[21:06.900 --> 21:11.700]  Let's see you hit that uh temple ball. All right. Yeah, I wish uh, I wish I could you know
[21:11.780 --> 21:15.780]  I wish I had the piece. I know Frenchie had those those pieces that um
[21:16.980 --> 21:21.380]  You could just smoke pure temple ball out of them. I'm not sure if you go pipe or the chum
[21:21.860 --> 21:26.980]  Yeah the pipe and it's got like instead of a hole in the bottom. It has three holes at the top
[21:27.620 --> 21:32.740]  Bert was showing that last week. Yeah. Yeah, I would really like like to get one of those so you don't have to get the
[21:32.740 --> 21:37.060]  Flower, but um, i'll try and get you guys a good good view here. Maybe you can see it bubble
[21:40.540 --> 21:51.490]  Ooh, la la
[21:52.130 --> 21:55.810]  There you go, nice, how's that taste
[21:57.650 --> 21:59.650]  So, um
[22:01.010 --> 22:03.010]  It's very unique, um
[22:03.890 --> 22:07.490]  You know this this temple ball was a mix of a lot of different strains
[22:08.050 --> 22:11.650]  like I said, it was a 2019 outdoor my season and um
[22:14.530 --> 22:18.210]  It it has a real flavor that reminds me of um
[22:19.950 --> 22:21.250]  Barbasol
[22:21.250 --> 22:25.810]  Or barbicide it's like, uh, whatever that whatever they keep combs in when you go to the barber
[22:26.370 --> 22:28.370]  That like weird green fluid
[22:28.610 --> 22:31.330]  You remember that shit? Yeah, I forgot about that
[22:31.890 --> 22:37.010]  yeah, that's I forgot about it too until I grew this bud and did this hash run and
[22:37.810 --> 22:42.290]  Every time I smell the temple ball i'm like dude that smells like the barber stuff. Um
[22:43.010 --> 22:45.650]  And it really tastes like it too and it's got this kind of
[22:46.290 --> 22:52.210]  Like hairspray on the back end kind of like sharpie or something just really astringent. Um
[22:52.370 --> 22:57.570]  But super pleasant not not too overwhelming, um, i'm standing so my legs are still working so
[23:00.290 --> 23:04.050]  Give it a minute. Yeah, right. Yeah, i've only taken one toke so
[23:05.970 --> 23:11.490]  Man I feel like you and sticky lungs you guys you boys are on another level of judging, uh cannabis
[23:12.050 --> 23:13.890]  Um speaking of like work and stuff
[23:13.890 --> 23:17.170]  I know we want to get deeper into just breeding and genetics
[23:17.170 --> 23:20.130]  But I wanted to start out with your genetics some of your work
[23:20.290 --> 23:27.890]  Some of your work I wanted to highlight you because I feel like you have access to fantastic genetics, um, then you are you know
[23:29.010 --> 23:33.810]  using your brain the way it seems like you do and you're coming up with some genetics that I feel like are
[23:34.290 --> 23:37.650]  Beautiful and as far as I understand from you know, the people around you
[23:37.970 --> 23:42.050]  Uh, the main one that they've talked about is your golden goat cross with your cherry lime pop
[23:42.370 --> 23:46.050]  Uh, so I was wondering if we could kind of start there and then another one that I always heard you talk
[23:46.370 --> 23:53.330]  Uh was that ripe ripe tide rush cross with the passion fruit I think you you and I briefly discussed that um
[23:53.810 --> 23:57.090]  At endo expo. So those are two two things that are your work
[23:57.170 --> 24:00.930]  that I would love to highlight you on and kind of talk about why you chose those and
[24:01.330 --> 24:07.250]  um kind of dive deeper into breeding because I feel like I try to push that sometimes with other breeders and they just don't
[24:07.730 --> 24:12.450]  Dive as deep as we wish, uh, layton myself and peter wish that they would so if you could kind of
[24:13.250 --> 24:18.610]  Just go a little bit deeper with why you're choosing certain genetics, you know, why are you you know, of course
[24:18.850 --> 24:22.130]  I think we all know why you're messing with mean gene, but like, you know
[24:22.850 --> 24:27.570]  What highlights those kind of high-end genetics for you so that you can take that work and then continue on?
[24:28.210 --> 24:30.130]  And make your own stuff
[24:30.130 --> 24:36.610]  Yeah, um, you know the the reason I really like to work with mean gene. I use tons of his mails
[24:36.850 --> 24:39.890]  Uh as everyone, you know who follows my stuff will know
[24:40.450 --> 24:43.170]  Um, I really like his and bode's stuff. Um
[24:44.130 --> 24:49.090]  Mean gene, I think is a great choice for males. Uh, particularly for someone like me
[24:49.730 --> 24:51.830]  Um, you know, i'm not running huge numbers
[24:53.170 --> 24:59.970]  So, you know, I don't have these giant facilities with rows of plants that i'm testing seeds, uh like crazy
[25:01.410 --> 25:04.130]  so, you know, that's a bit of a disadvantage and
[25:05.090 --> 25:07.250]  so from that perspective, um
[25:07.890 --> 25:09.970]  You know my odds are not as good
[25:10.690 --> 25:14.610]  uh to be you know hunting through if the next guy making seeds can
[25:15.250 --> 25:21.970]  Uh can sort through you know a thousand seeds to find his mail and i'm looking through 10, you know, I mean that's uh,
[25:22.130 --> 25:23.490]  a no-brainer
[25:23.490 --> 25:28.610]  so, um my experience with mean genes gear, uh freeborn selections is just
[25:29.490 --> 25:31.490]  Um, it's so consistent
[25:32.370 --> 25:33.810]  in the quality
[25:33.810 --> 25:34.850]  uh
[25:34.850 --> 25:36.850]  You know if you pop a 10 pack
[25:37.250 --> 25:43.810]  You'll probably find one plant. That's not a keeper or one female whereas, you know, if you're looking through something
[25:44.290 --> 25:47.650]  Um, you know, maybe some cheaper seeds or f1s or whatever
[25:48.130 --> 25:53.090]  Uh, it might be almost the opposite ratio, you know, you might find one or two really special plants
[25:53.570 --> 25:55.650]  And I feel like you know mean gene stuff
[25:56.210 --> 26:00.210]  It's it's like it's very rare to find a plant that you're not
[26:01.070 --> 26:03.070]  completely stoked about um
[26:03.490 --> 26:04.530]  so
[26:04.530 --> 26:09.510]  You know, I thought about that for a while and just thought well it's if that's the case with the females
[26:10.050 --> 26:12.130]  You know, it's got to be the case with the males, too
[26:12.850 --> 26:13.970]  um
[26:13.970 --> 26:16.070]  So for someone running lower numbers
[26:17.410 --> 26:23.010]  The odds of getting a really amazing male, uh from freeborn gear
[26:23.650 --> 26:26.690]  In in my experience is pretty good. Um
[26:27.490 --> 26:32.450]  So that's kind of why I picked him. Uh, and you know anyone who's grown or smoked his stuff knows
[26:33.410 --> 26:37.510]  The the terpene profiles are just unbelievably complex and unique
[26:38.050 --> 26:42.770]  and um, you know, I mean some some of this stuff i've never experienced in cannabis before
[26:43.490 --> 26:45.490]  only only in his seeds, so
[26:46.050 --> 26:48.290]  So that's kind of why I use his stuff. Um
[26:48.930 --> 26:52.370]  It or you know, uh quite a bit. I use his males. Um,
[26:53.010 --> 26:57.250]  and you know when I started doing that the results of my own seeds was just
[26:58.050 --> 27:01.810]  Uh ended up being a lot more consistent a lot more hits than misses
[27:02.930 --> 27:05.170]  so i've just kept up with that trend and
[27:06.130 --> 27:12.850]  Yeah, you know you talked about the golden goat cherry lime pop. Um people have really gravitated to that one. I'm not sure
[27:13.650 --> 27:17.250]  why in particular I I think maybe because both strains are
[27:18.850 --> 27:24.530]  Well known enough that everyone's heard of them, but they're not so well known that everyone's tried them
[27:25.250 --> 27:31.170]  So, you know, those are both two really nice like elite level strains
[27:31.890 --> 27:34.530]  Uh that most people don't have access to um
